umur_rumah,jarak_terdekat_MRTstation,Jumlah_minimarket,latitude,longitude,harga_rumah_per_unit
20.4,2469.645,4,24.96108,121.51046,23.8
11.9,3171.329,0,25.00115,121.51776,46.6
30.3,4510.359,1,24.94925,121.49542,22.6
5.6,2408.993,0,24.95505,121.55964,24.7
3.7,577.9615,6,24.97201,121.54722,41.6
32.7,392.4459,6,24.96398,121.5425,30.5
25.3,2707.392,3,24.96056,121.50831,17.7
21.7,1157.988,0,24.96165,121.55011,23.8
13.3,492.2313,5,24.96515,121.53737,38.9
18.3,82.88643,10,24.983,121.54026,46.6
14.6,339.2289,1,24.97519,121.53151,26.5
1.1,193.5845,6,24.96571,121.54089,49
14.7,1935.009,2,24.96386,121.51458,22.9
13.3,250.631,7,24.96606,121.54297,42
13.3,561.9845,5,24.98746,121.54391,47.3
30.8,377.7956,6,24.96427,121.53964,36.8
14.4,169.9803,1,24.97369,121.52979,50.2
31.3,1758.406,1,24.95402,121.55282,20.7
10.3,3079.89,0,24.9546,121.56627,24.7
31.5,258.186,9,24.96867,121.54331,36.3
1.1,193.5845,6,24.96571,121.54089,45.1
6.4,90.45606,9,24.97433,121.5431,62.2
3.4,56.47425,7,24.95744,121.53711,54.4
37.1,918.6357,1,24.97198,121.55063,31.9
34.9,179.4538,8,24.97349,121.54245,39.7
2.3,184.3302,6,24.96581,121.54086,45.4
1.1,193.5845,6,24.96571,121.54089,54.4
31.7,1159.454,0,24.9496,121.53018,13.8
11.6,201.8939,8,24.98489,121.54121,55.9
27.6,515.1122,5,24.96299,121.5432,37.4
30.9,6396.283,1,24.94375,121.47883,12.2
17.4,995.7554,0,24.96305,121.54915,25.5
